event_id,nse,rmse,peak_mag_err_m,peak_time_err_h,obs_peak_m,sim_peak_m,model,horizon_h
288,-0.5097201691382007,0.04321071143213526,0.0,6.0,0.139466,0.139466,persistence,6
289,-0.015092924791366036,0.028768925149554318,0.003956000000000001,5.166666666666667,0.083274,0.08723,persistence,6
290,-13.175901173565371,0.028639455849529386,0.009534999999999998,4.166666666666667,0.026625,0.03616,persistence,6
291,-3.437563615720374,0.027059066095542966,0.0028400000000000022,3.6666666666666665,0.034699,0.037539,persistence,6
292,,0.04190109660242455,0.05744,1.0,0.0,0.05744,persistence,6
293,,0.03267886603072472,0.040075,1.0,0.0,0.040075,persistence,6
294,-5.684489070063041,0.027984918237994438,0.010761,1.0,0.031261,0.042022,persistence,6
295,-3.362623967734569,0.027870241826265973,0.012576999999999998,1.8333333333333333,0.034527,0.047104,persistence,6
296,-2.3454707097204106,0.027640415737155748,0.007961999999999997,2.1666666666666665,0.035602,0.043564,persistence,6
297,,0.03938423948277234,0.052044,2.0,0.0,0.052044,persistence,6
298,-601.5164637600052,0.07029811375957286,0.15304800000000002,0.6666666666666666,0.012587,0.165635,persistence,6
299,-2.3569351697222127,0.016967360590262708,0.045998,-3.3333333333333335,0.025784,0.071782,persistence,6
300,-54.62656709726691,0.061488339414884186,0.09417800000000001,2.5,0.028857,0.123035,persistence,6
301,-8.089280461459854,0.07059830833390199,0.13578400000000002,1.8333333333333333,0.065656,0.20144,persistence,6
302,,0.0866678744108155,0.195963,0.5,0.0,0.195963,persistence,6
303,-2.9369299750546647,0.04032516073441118,0.0025260000000000005,-2.8333333333333335,0.069023,0.071549,persistence,6
304,-145.1512875379755,0.10737883130250257,0.21948399999999998,1.1666666666666667,0.031251,0.250735,persistence,6
305,-8.429962690710692,0.17617832528981034,0.60361,0.5,0.175981,0.779591,persistence,6
306,-0.47812875445130865,0.03002957137029699,0.005020999999999998,-1.0,0.063891,0.068912,persistence,6
307,-1.7715612623880772,0.03407318999878861,0.010193,1.0,0.053809,0.064002,persistence,6
308,0.7855267703163082,0.07649044976840805,0.0,6.0,0.50715,0.50715,persistence,6
309,-2.0633379707568538,0.02252193069015944,0.011105999999999998,3.8333333333333335,0.043331,0.054437,persistence,6
310,-2.959578052022675,0.013882657444632135,0.018014,0.8333333333333334,0.018673,0.036687,persistence,6
311,-0.7769016197741287,0.02133905345896088,0.012699000000000002,0.16666666666666666,0.040379,0.053078,persistence,6
312,,0.03142175456767351,0.057105,0.16666666666666666,0.0,0.057105,persistence,6
313,0.08864656992064279,0.01574023022282793,0.0001419999999999963,-0.5,0.053504,0.053646,persistence,6
314,-0.5409637910175031,0.024120119697130103,0.05245,2.1666666666666665,0.051313,0.103763,persistence,6
315,-1.032609731343355,0.02694196084132245,0.0,6.0,0.116442,0.116442,persistence,6
316,-2.2118952412468427,0.020368600640847338,0.04504500000000001,-18.666666666666668,0.042286,0.087331,persistence,6
317,-1.138100210934204,0.01884342292214353,0.0,6.0,0.042286,0.042286,persistence,6
318,,0.03592883199220821,0.051618,0.3333333333333333,0.0,0.051618,persistence,6
319,-21.907783837257128,0.05833796013190599,0.111269,3.0,0.039659,0.150928,persistence,6
320,-3.7481602347214116,0.017163940871129865,0.029536999999999997,2.5,0.029658,0.059195,persistence,6
321,-50.28717274646275,0.031435677417773034,0.02624,3.0,0.015813,0.042053,persistence,6
